id,annotator,start,end,category,class,
21914480_1641316897547,21914480,386,388,Coréférence : Maillon,unit,
21914480_1641316992498,21914480,389,393,Coréférence : Maillon,unit,
21914480_1641317106354,21914480,556,558,Coréférence : Maillon,unit,
21914480_1641317327591,21914480,940,958,Coréférence : Maillon,unit,
21914480_1641317329955,21914480,994,999,Coréférence : Maillon,unit,
21914480_1641317332064,21914480,1021,1026,Coréférence : Maillon,unit,
21914480_1641317338921,21914480,1074,1076,Coréférence : Maillon,unit,
21914480_1641317340955,21914480,1096,1101,Coréférence : Maillon,unit,
21914480_1641317410986,21914480,1216,1218,Coréférence : Maillon,unit,
21914480_1641317430259,21914480,1166,1174,Coréférence : Maillon,unit,
21914480_1641317433457,21914480,930,939,Coréférence : Maillon,unit,
21914480_1641317469121,21914480,1263,1268,Coréférence : Maillon,unit,
21914480_1641317503386,21914480,1370,1373,Coréférence : Maillon,unit,
21914480_1641317506029,21914480,1404,1407,Coréférence : Maillon,unit,
21914480_1641317513436,21914480,1467,1469,Coréférence : Maillon,unit,
21914480_1641317517852,21914480,1555,1560,Coréférence : Maillon,unit,
21914480_1641317521450,21914480,1611,1614,Coréférence : Maillon,unit,
21914480_1641317543955,21914480,1619,1621,Coréférence : Maillon,unit,
21914480_1641317547268,21914480,1666,1675,Coréférence : Maillon,unit,
21914480_1641317641206,21914480,1419,1423,Coréférence : Maillon,unit,
21914480_1641317651519,21914480,1476,1479,Coréférence : Maillon,unit,
21914480_1641317654129,21914480,1540,1543,Coréférence : Maillon,unit,
21914480_1641317659052,21914480,1594,1599,Coréférence : Maillon,unit,
21914480_1641317712553,21914480,1676,1678,Coréférence : Maillon,unit,
21914480_1641317720896,21914480,1703,1711,Coréférence : Maillon,unit,
21914480_1641317726765,21914480,1731,1750,Coréférence : Maillon,unit,
21914480_1641317729703,21914480,1760,1765,Coréférence : Maillon,unit,
21914480_1641317731984,21914480,1712,1714,Coréférence : Maillon,unit,
21914480_1641317736349,21914480,1766,1768,Coréférence : Maillon,unit,
21914480_1641322700346,21914480,274,296,Figure : Métaphore,unit,
21914480_1641322760310,21914480,536,555,Figure : Métaphore,unit,
21914480_1641322929061,21914480,1374,1391,Figure : Métaphore,unit,
21914480_1641323459695,21914480,135,155,Figure : Métaphore,unit,
21914480_1641324615207,21914480,1166,1174,Figure : Synecdoque,unit,
21914480_1641324923886,21914480,536,555,Interprétation : Mal / Obscurité,unit,
21914480_1641324964261,21914480,790,811,Interprétation : Bien / Lumière,unit,
21914480_1641324970813,21914480,851,893,Interprétation : Mal / Obscurité,unit,
21914480_1641315790063,21914480,909,939,Syntaxe : Syntagme nominal,unit,
21914480_1641315843320,21914480,1408,1432,Syntaxe : Syntagme nominal,unit,
21914480_1641315850464,21914480,1438,1476,Syntaxe : Syntagme nominal,unit,
21914480_1641314826097,21914480,220,231,Syntaxe : Verbe,unit,
21914480_1641314846324,21914480,389,401,Syntaxe : Verbe,unit,
21914480_1641315661411,21914480,113,131,Syntaxe : Syntagme nominal,unit,
21914480_1641315748765,21914480,601,639,Syntaxe : Syntagme nominal,unit,
21914480_1641315766319,21914480,748,767,Syntaxe : Syntagme nominal,unit,
21914480_1641317616374,21914480,1253,1279,Coréférence : Maillon,unit,
21914480_1641317714994,21914480,1619,1627,Coréférence : Maillon,unit,
21914480_1641322174345,21914480,511,534,Figure : Comparaison,unit,
21914480_1641322249381,21914480,1224,1252,Figure : Comparaison,unit,
21914480_1641322277503,21914480,1754,1765,Figure : Comparaison,unit,
21914480_1641322677665,21914480,155,182,Figure : Métaphore,unit,
21914480_1641322809477,21914480,698,726,Figure : Métaphore,unit,
21914480_1641322861879,21914480,748,767,Figure : Métaphore,unit,
21914480_1641323511052,21914480,344,376,Figure : Synecdoque,unit,
21914480_1641323973323,21914480,575,597,Figure : Métaphore,unit,
21914480_1641324226655,21914480,959,977,Figure : Synecdoque,unit,
21914480_1641324580384,21914480,1074,1094,Figure : Métaphore,unit,
21914480_1641324583296,21914480,1096,1115,Figure : Métaphore,unit,
21914480_1641324859389,21914480,260,298,Interprétation : Mal / Obscurité,unit,
21914480_1641324864240,21914480,298,341,Interprétation : Mal / Obscurité,unit,
21914480_1641324910039,21914480,430,463,Interprétation : Mal / Obscurité,unit,
21914480_1641324918445,21914480,511,534,Interprétation : Bien / Lumière,unit,
21914480_1641324941057,21914480,640,681,Interprétation : Mal / Obscurité,unit,
21914480_1641324981806,21914480,812,851,Interprétation : Mal / Obscurité,unit,
21914480_1641325020633,21914480,1032,1073,Interprétation : Bien / Lumière,unit,
21914480_1641325037701,21914480,1116,1163,Interprétation : Bien / Lumière,unit,
21914480_1641325042281,21914480,1163,1206,Interprétation : Bien / Lumière,unit,
21914480_1641325059477,21914480,1253,1279,Interprétation : Bien / Lumière,unit,
